mission_days,total_delta_v_m_s
180.23459539590039,625.1182658433103
180.78885417444482,621.5373510762495
182.08714000779847,613.1517173257016
182.0607001829063,613.3855236884355
180.72023107378317,622.5157436540096
180.20847789038214,625.9847644582193
180.2322554050873,625.8905139825795
180.80025322679467,622.0964626691235
182.0630402252414,614.2743518109813
180.74938557937898,623.5201438449891
182.07680487301036,614.593729665978
180.71182501406568,624.1448295664063
180.21450023377136,627.6853227805019
180.7178910433739,624.8347308793097
180.5600890615112,626.365944023415
180.7292900248338,625.3344894493083
181.78287227522912,618.4147959223294
180.66637490808577,626.2490652350335
180.63487977692316,626.7033754176765
182.0056897620434,617.5655104076482
182.04530999539242,617.5071770393535
182.05670910052277,617.490382691825
181.20827307545812,623.299351086316
182.10292171631824,617.414636039959
181.98325402263282,618.5173807104161
181.13085623307205,624.3108570122314
181.14657652474824,624.2930606871312
180.64627897384156,627.697954089311
182.0556445334161,618.1783579255267
180.460546707819,629.0240310991041
182.0399474692885,618.4113404186355
182.0714262592799,618.23554755108
182.00334970887212,618.7006869327165
180.63721985156727,627.9835804475555
182.01471372009405,618.7101339724613
182.0557291951523,618.4685300441888
181.16768765277806,624.7518204257195
180.71953905904826,627.8637449305754
181.2058229726715,624.6342042476841
182.01474880704552,619.4048577081344
182.03154475085904,619.3009924108064
181.83732556834786,620.6871850223448
182.05806923748742,619.3573581667347
181.1466469542208,625.5592784258869
181.46315296746522,623.8899606639282
181.81488982893734,621.639055325113
182.06470381655072,619.9742926688162
180.9782123310527,627.4147353018279
181.98559407150492,620.7562724834497
181.8349855151766,621.8223615474133
180.55117486535275,630.9854195452721
180.6189670020854,630.6435482648808
182.04060403399365,621.096927154096
181.84638461335004,622.526532322831
180.71719906560696,630.6767296311375
180.3859121938839,632.9257947565219
182.2410618747422,620.4274915483645
182.73464709674948,617.2525800796539
180.38357217076185,633.3066659884581
180.37988975627346,633.357028547981
181.2538801313302,627.4804832468321
181.97419501287618,622.6945732935035
181.79390588254785,624.025081953601
181.8172298778094,623.8779470981464
181.84109829928866,623.7594525969647
181.84712065374302,623.7516942334713
181.76867266360074,624.3177444694352
180.9070982043528,630.2899919243436
181.8096028422503,624.5803641080859
181.84478066292994,624.5239423727406
182.09619845516863,622.8518832427584
181.21184530978186,628.8321749728947
181.79624592488295,624.9139100761469
182.19270846146134,622.2421288612807
181.80175838869815,624.9610967592372
181.8169985167316,624.8820870822444
181.77101270593585,625.2065725919811
181.82302087118592,624.874328718751
180.54883487191142,633.7984042458343
183.1017766101992,616.5417860351065
182.04900647707962,623.901136810261
181.7855030596932,625.7029985933656
182.02377272788516,624.1999303640869
181.82068088037286,625.6465768580202
182.07209867261156,623.9745177280382
181.8058308191807,625.8162479082002
182.02657376310506,624.3839987665598
182.06704385458667,624.237189089464
182.07461541304647,624.226566233503
183.0776768276421,617.6644205203863
182.16355326998422,623.9427530024125
183.11989837839812,617.4878037832058
182.0513459763378,624.7946053695342
182.02611222714336,625.09339892336
182.02434426776583,625.3638034759773
182.0429440720296,625.3598235747438
182.16121318450394,624.6865526201477
183.11755832522687,618.6229803082741
182.0198513203759,626.122743884296
182.1726124342029,625.1052253513797
181.99461757118144,626.4215374381218
182.0356330462397,626.1799335098493
182.2676193104278,624.7908061059615
182.2361241792652,625.2451162886044
181.79992821965817,628.2230526788115
182.2003308482517,625.627837352143
181.77469500071106,628.5157151946457
182.2681642090132,625.1937065737477
181.99518907628868,627.0644276171091
182.17509709905724,625.9266309059689
182.22042678926184,625.8447001101914
182.08282557417158,626.7917911179453
182.19519304006738,626.1434936640172
181.81562517936064,628.7783348332964
182.24351952787072,625.9134405912413
181.75891904288494,629.2727858852068
181.99284899080843,627.8082272348445
182.21202439670813,626.3677507738842
181.81202763340275,629.1768287904042
182.2475233761836,626.239694960239
181.8180499878571,629.1690704269107
181.32612446364328,632.5562576262718
182.2384642539093,626.5253213184834
183.07248242063883,620.9366148920938
182.22276683159697,626.7335282327373
182.00424824050737,628.2268999660763
181.7243209840001,630.1918296090587
181.7647504505006,629.940550675972
182.19753308240251,627.0323217865631
181.7395172315535,630.2332131918062
181.42529254737929,632.3717458570358
181.79152539680356,629.9009693185761
181.7805321763644,629.9977403015254
181.81570999704402,629.94131856618
182.0858644586964,628.2524155598998
182.22342359362653,627.3623294455188
182.21436447135224,627.6479558037631
181.73787812638528,631.1625513069021
182.05436900165805,629.0733270710209
182.06712768485758,629.0575240837915
181.79987366011886,630.8754525278064
181.59055484918943,632.3944604999035
182.23666933139526,628.1071539471233
182.2480684365256,628.0903595995948
183.08840290401577,622.5144443830309
182.2318254868696,628.5054279260852
181.40425137610876,634.227954742983
182.20659173767518,628.804221479911
181.77380973363523,631.7364854192615
181.5559567903046,633.3135042237553
181.74857651468812,632.0291479350957
183.11317511724852,622.9250509860053
182.03797308427562,630.442829930497
181.82468451401732,632.2353458384011
182.20267088628765,629.8907337727908
181.56951393268977,634.2842259215987
182.1774371370932,630.1895273266166
183.08907533469142,624.047685471285
183.11083560715417,624.0555870743464
183.08168046128657,624.253189500767
181.821002157142,633.1366076749512
181.80058473146022,633.3579803236807
183.0867358245971,625.1782215596261
183.0575806787295,625.3758239860468
182.23854854011674,630.9964469469945
182.19127168309035,631.3935675040842
181.78655451347473,634.1957110267358
182.1660379338959,631.69236105791
182.20705340895415,631.4507571296375
179.52196024440337,649.6035039149918
181.79690237458493,634.2592421602309
182.25424587927296,631.2117154607064
182.27021723291583,631.1895244164393
181.80530437225315,634.6140759932036
181.81132672670748,634.6063176297102
181.78007115330604,634.9067385090378
181.78609350776037,634.8989801455444
183.28459597250767,624.8639738492083
